artist_name,album_name,genre,label,review_date,reviewer,score
Butthole Surfers,Weird Revolution,Not found,Hollywood,"August 31, 2001",Brent DiCrescenzo,0.4
Richard Youngs,Advent,Experimental / Rock,Jagjaguwar,"January 10, 2005",Matthew Murphy,7.5
Grand Archives,Grand Archives,Rock,Sub Pop,"March 13, 2008",Ian Cohen,7.8
Black Cat Music,"Hands in the Estuary, Torso in the Lake",Not found,Lookout!,"January 22, 2002",Daphne Carr,8.3
Weezer,Hurley,Rock,Epitaph,"September 17, 2010",Ian Cohen,5.0
Impetuous Ritual,Unholy Congregation of Hypocritical Ambivalence,Not found,Profound Lore,"April 14, 2014",Andy O'Connor,7.9
Library Tapes,The Quiet City,Electronic / Rock,1631,"September 5, 2020",Brian Howe,7.0
Kingsbury Manx,Aztec Discipline,Rock,Overcoat,"October 15, 2003",No reviewer found,7.1
41,41 World: Not the Album,Rap,RiteOrWrongKVH Entertainment / Republic,"November 30, 2023",Alphonse Pierre,6.5
David Thomas Broughton,The Complete Guide To Insufficiency,Folk/Country,Plug Research / Birdwar,"January 16, 2006",Brandon Stosuy,8.4
M. Gira,What We Did,Not found,Young God,"December 4, 2001",Daphne Carr,8.4
No artist found,All Tomorrow's Parties v2.0,Not found,ATP,"May 28, 2002",William Bowers,7.9
Brendan Canning,Home Wrecking Years,Rock,Arts & Crafts,"August 24, 2016",Pat Healy,5.0
JFDR,Museum,Experimental,Houndstooth,"May 4, 2023",Ryan Leas,7.3
No artist found,Trevor Jackson Presents Metal Dance: Industrial/Post-Punk/EBM Classics and Rarities 80 to 88,Not found,Strut,"March 19, 2012",Jess Harvell,5.5
The Watson Twins,"Talking to You, Talking to Me",Folk/Country,Vanguard,"February 8, 2010",Stephen M. Deusner,6.4
Ariel Pink,Dedicated to Bobby Jameson,Rock,Mexican Summer,"September 15, 2017",Sam Sodomsky,8.2
Ava Luna,Moon 2,Rock,Western Vinyl,"September 14, 2018",Maggie Lange,7.7
Masami Akita,Kouen Kyoudai,Experimental / Pop/R&B,Editions Mego,"March 25, 2016",Kevin Lozano,5.1
Taylor Swift,Red (Taylor’s Version),Pop/R&B,Republic,"November 15, 2021",Olivia Horn,8.5
No artist found,The Heavy Metal Box,Not found,Rhino,"January 11, 2008",Brandon Stosuy,6.7
Richard Buckner & Jon Langford,Sir Dark Invader vs. the Fanglord,Not found,Buried Treasure,"July 12, 2005",Stephen M. Deusner,7.4
No artist found,No album name found,Electronic / Rock,Not found,"April 15, 2004",Joe Tangari,8.5
Ben Lee,Awake Is the New Sleep,Rock,New West,"March 28, 2005",Marc Hogan,2.9
Liars,They Threw Us All in a Trench and Stuck a Monument on Top,Rock,Gern Blandsten,"July 17, 2002",Chris Dahlen,8.1
No artist found,Melatonin: Meditations on Sound in Sleep,Not found,Room40,"July 26, 2004",Joe Tangari,8.0
Cut Hands,Black Mamba,Not found,Susan Lawly,"December 3, 2012",Nick Neyland,6.8
Wymond Miles,Under the Pale Moon,Rock,Sacred Bones,"June 28, 2012",Evan Minsker,7.2
Hauschka,Abandoned City,Experimental,City Slang / Temporary Residence Ltd.,"March 11, 2014",Brian Howe,6.5
Sir Babygirl,Crush on Me,Pop/R&B,Father/Daughter,"February 20, 2019",Katherine St. Asaph,6.8
Jozef van Wissem,The Mystery of Heaven,Experimental,Sacred Bones,"December 7, 2012",Nick Neyland,6.4
Caetano Veloso,Noites do Norte,Global,Nonesuch,"April 24, 2001",Joe Tangari,8.1
Liz Phair,Liz Phair,Rock,Capitol,"June 24, 2003",Matt LeMay,0.0
Ariana Grande,Sweetener,Pop/R&B,Republic,"August 21, 2018",Jill Mapes,8.1
Grimes,Miss Anthropocene,Pop/R&B,4AD,"February 21, 2020",Anupa Mistry,8.2
Touché Amoré,Stage Four,Rock,Epitaph,"September 16, 2016",Zoe Camp,8.1
Jonas Brothers,Happiness Begins,Pop/R&B,Republic,"June 14, 2019",Olivia Horn,6.2
Kane Strang,Blue Cheese,Rock,Ba Da Bing / Flying Nun,"March 8, 2016",Stuart Berman,6.6
Loukeman,Sd-2,Electronic,SD Music Group,"January 22, 2024",Maxie Younger,7.0
Megan Thee Stallion,Something for Thee Hotties,Rap,Not found,"November 3, 2021",Dylan Green,7.4
Elk City,House of Tongues,Rock,Friendly Fire,"August 18, 2010",Amy Granzin,4.8
S. Carey,Range of Light,Rock,Jagjaguwar,"April 3, 2014",Jeremy D. Larson,7.3
Modern Hut,Generic Treasure,Not found,Don Giovanni,"August 29, 2013",Paul Thompson,4.0
Juju & Jordash,Techno Primitivism,Electronic,Dekmantel,"September 26, 2012",Andy Beta,7.9
...And You Will Know Us by the Trail of Dead,Festival Thyme EP,Rock,Richter Scale,"October 30, 2008",Stuart Berman,6.2
Ulrich Schnauss,Stars EP,Electronic / Rock,Domino,"August 7, 2008",Mark Pytlik,4.5
claire rousay,an afternoon whine,Experimental / Electronic,Ecstatic,"July 27, 2021",Daniel Bromfield,7.3
No artist found,No album name found,Pop/R&B,Not found,"March 4, 2009",Stephen M. Deusner,8.7
Sturgill Simpson,A Sailor's Guide to Earth,Folk/Country,Atlantic,"April 19, 2016",Corban Goble,8.0
Six Organs of Admittance,Hexadic,Experimental,Drag City,"February 10, 2015",Marc Masters,7.6
No artist found,TRAXX: The House That Garage Built,Not found,Need Want,"May 1, 2013",Tim Finney,6.4
Lucy Liyou,Dog Dreams (개꿈),Electronic / Experimental,American Dreams,"May 16, 2023",Grace Byron,7.6
Pauline Oliveros,Reverberations: Tape & Electronic Music 1961-1970,Electronic / Experimental / Rock,Important,"June 5, 2012",Brian Howe,9.0
Wye Oak,The Knot,Rock,Merge,"July 21, 2009",Mike Powell,5.9
Sun City Girls,Funeral Mariachi,Rock,Abduction,"November 9, 2010",Douglas Wolk,7.4
Mykki Blanco,Gay Dog Food,Rap,UNO,"November 14, 2014",Lawrence Burney,6.0
Tony Molina,Kill the Lights,Rock,Slumberland,"July 28, 2018",Stuart Berman,7.5
Spoon,Transference,Rock,Merge,"January 19, 2010",Matthew Perpetua,7.8
The Notorious B.I.G.,Duets: The Final Chapter,Rap,Atlantic / Bad Boy,"January 3, 2006",Sean Fennessey,4.2
A Sunny Day in Glasgow,Nitetime Rainbows EP,Rock,Mis Ojos Discos,"March 1, 2010",Matthew Solarski,7.0
Groove Armada,Soundboy Rock,Electronic,Sony / Strictly Rhythm,"April 14, 2008",Tom Ewing,5.8
The Anomoanon,The Anomoanon,Folk/Country,Palace,"February 20, 2001",Matt LeMay,7.7
Lewis Capaldi,Broken by Desire to Be Heavenly Sent,Pop/R&B,Capitol,"May 19, 2023",Laura Snapes,4.0
Pissgrave,Posthumous Humiliation,Metal,Profound Lore,"March 8, 2019",Andy O'Connor,7.7
No artist found,No album name found,Not found,Not found,"July 31, 2012",Andy Beta,7.3
Aretha Franklin,Spirit in the Dark,Pop/R&B,Atlantic,"May 20, 2018",Nick Marino,9.0
Bryce Hackford,Fair,Not found,Prah,"December 13, 2013",Nick Neyland,7.0
Windhand,Soma,Metal,Relapse,"September 25, 2013",Grayson Haver Currin,7.0
White Star Line,White Star Line,Not found,Antiantenna,"November 20, 2002",Eric Carr,5.8
Jad Fair,The Sound of Music: An Unfinished Symphony in Twelve Parts,Rock,Shimmy Disc,"April 20, 1999",Mark Richardson,3.7
Pullman,Viewfinder,Not found,Thrill Jockey,"June 6, 2002",Paul Cooper,5.0
Default Genders,Stop Pretending EP,Electronic,self-released,"August 7, 2013",Mark Richardson,6.6
No artist found,No album name found,Rock,Not found,"August 17, 2017",Stephen Thomas Erlewine,8.5
Nat Baldwin,People Changes,Experimental,Western Vinyl,"May 26, 2011",David Bevan,7.9
Scritti Politti,Absolute,Electronic / Rock,Virgin,"March 10, 2011",Tom Ewing,8.8
Lizzo,Special,Pop/R&B / Rap,Nice Life / Atlantic,"July 21, 2022",Claire Shaffer,6.4
Alex Cameron,Miami Memory,Rock,Secretly Canadian,"September 26, 2019",Anna Gaca,6.0
Haim,Something to Tell You,Rock,Columbia,"July 7, 2017",Jenn Pelly,7.8
Arco Flute Foundation,Everything After the Bomb Is Sci-Fi,Not found,Cenotaph,"August 22, 2002",Joe Tangari,5.9
Mountain Home,Mountain Home,Not found,Language of Stone,"November 16, 2007",Joshua Klein,7.2
AraabMuzik,For Professional Use Only Vol. 2,Electronic,Duke,"July 17, 2014",Nate Patrin,6.4
The Unicorns,Who Will Cut Our Hair When We're Gone?,Experimental / Rock,Alien8,"November 11, 2003",Eric Carr,8.9
Sam Wilkes,WILKES,Jazz,Leaving,"October 5, 2018",Jay Balfour,7.3
MIKE,War in My Pen,Rap,10k,"January 4, 2019",Jayson Greene,7.6
Common,Thisisme Then: The Best of Common,Rap,Columbia Legacy / Red Ink,"November 29, 2007",Nate Patrin,8.0
Modest Mouse,The Moon & Antarctica [Expanded Edition],Rock,Epic,"March 29, 2004",Stephen M. Deusner,5.0
Westkust,Westkust,Rock,Run for Cover / Luxury,"March 7, 2019",Arielle Gordon,7.2
Birthing Hips,Urge to Merge,Rock,NNA Tapes,"January 6, 2018",Zoe Camp,7.0
Black Host,Life in the Sugar Candle Mines,Not found,Northern Spy,"May 28, 2013",Hank Shteamer,7.6
Shining,Grindstone,Jazz / Metal,Rune Grammofon,"February 21, 2007",Brandon Stosuy,7.6
Linda Martell,Color Me Country,Folk/Country,Plantation,"September 10, 2023",Lawrence Burney,7.5
DoM,Family of Love EP,Rock,Astralwerks,"August 10, 2011",Larry Fitzmaurice,8.0
Coldplay,Everyday Life,Rock,Parlophone / Atlantic,"November 25, 2019",Sam Sodomsky,6.8
DropxLife,Furthur,Not found,self-released,"January 24, 2012",Andrew Ryce,6.2
Laura Marling,Once I Was an Eagle,Folk/Country,Ribbon Music,"June 3, 2013",Rachael Maddux,8.1
PinkPantheress,Take Me Home EP,Pop/R&B / Electronic,Warner,"January 4, 2023",Shaad D’Souza,6.8
Frank Black,Fast Man Raider Man,Rock,EMI / Back Porch,"June 20, 2006",Joe Tangari,6.4
Hood,Home is Where It Hurts EP,Rock,Aesthetics,"March 26, 2001",Matt LeMay,7.2
Wet,Pink Room EP,Pop/R&B,Friends Of / Secretly Canadian,"July 15, 2022",Brady Brickner-Wood,6.0
Grandaddy,Just Like the Fambly Cat,Rock,V2,"May 9, 2006",Marc Hogan,6.8
Cold Meat,Hot and Flustered,Rock,Static Shock,"April 8, 2020",Madison Bloom,7.2
Sun Kil Moon,Common as Light and Love Are Red Valleys of Blood,Folk/Country,Rough Trade / Caldo Verde,"February 28, 2017",Sam Sodomsky,6.5
No artist found,No album name found,Rock,Not found,"December 8, 2011",Ned Raggett,9.0
Bonjay,Lush Life,Electronic,Mysteries of Trade,"June 2, 2018",Chris Randle,7.4
Yaya Bey,The Things I Can’t Take With Me EP,Pop/R&B,Big Dada,"April 13, 2021",Eric Torres,7.0
Salt-N-Pepa,Very Necessary,Rap,Next Plateau,"June 11, 2017",Claire Lobenfeld,8.5
Centro-matic,Distance and Clime,Rock,Idol,"October 22, 2001",Dan Kilian,6.9
Minutemen,Double Nickels on the Dime,Rock,SST,"November 13, 2016",Marc Masters,9.5
Owls,Owls,Rock,Jade Tree,"October 22, 2001",Camilo Arturo Leslie,7.0
EOB,Earth,Rock,Capitol,"April 21, 2020",Stuart Berman,5.7
Bryce Hackford,Safe (Exits),Not found,Spring Theory,"April 18, 2020",Philip Sherburne,7.3
Rival Consoles,Howl,Electronic,Erased Tapes,"October 22, 2015",Jonah Bromwich,7.7
Mercury Rev,The Light In You,Rock,Bella Union,"October 1, 2015",Stuart Berman,7.0
Wolf Eyes,Dead Hills,Experimental,Troubleman Unlimited,"April 9, 2003",Brandon Stosuy,8.2
Twerps,Range Anxiety,Rock,Merge,"January 28, 2015",Ian Cohen,7.5
Stars,The North,Electronic / Rock,ATO / Soft Revolution,"September 4, 2012",Larry Fitzmaurice,6.7
Kamaal Williams,Wu Hen,Jazz,Black Focus,"July 24, 2020",Andy Beta,7.3
Julianna Barwick,The Matrimony Remixes EP,Electronic,Asthmatic Kitty,"October 13, 2011",Mark Richardson,6.0
City Girls,Period,Rap,Quality Control,"May 17, 2018",Claire Lobenfeld,6.5
Dawnbringer,Into the Lair of the Sun God,Not found,Profound Lore,"June 14, 2012",Grayson Haver Currin,7.7
Urochromes,Night Bully EP,Rock,Wharf Cat,"February 1, 2017",Evan Minsker,7.8
Eddy Current Suppression Ring,So Many Things,Electronic / Rock,Goner,"December 7, 2011",Evan Minsker,7.4
Heavy Trash,Midnight Soul Serenade,Electronic / Rock,Fat Possum,"November 4, 2009",Stephen M. Deusner,7.0
Artanker Convoy,Cozy Endings,Rock,Social Registry,"August 29, 2007",Matthew Murphy,6.3
Digga D,Noughty By Nature,Rap,Not found,"April 28, 2022",Will Pritchard,7.2
Matt Martians,The Drum Chord Theory,Pop/R&B,AWAL / Kobalt,"February 9, 2017",Elias Leight,6.0
No artist found,"Goodbye, Babylon",Not found,Dust-to-Digital,"March 16, 2004",Andrew Bryant,9.5
Baby Keem,The Melodic Blue,Rap,pgLang / Columbia,"September 15, 2021",Dylan Green,6.4
Uly,1822.demos,Pop/R&B,self-released,"March 17, 2023",Dean Van Nguyen,7.4
Willard Grant Conspiracy,In the Fishtank (with Telefunk),Folk/Country,Konkurrent,"July 31, 2002",Brad Haywood,5.4
No artist found,No album name found,Rock,Not found,"July 15, 2013",Andy Beta,8.6
Uniform,The Long Walk,Metal,Sacred Bones,"August 29, 2018",Andy O'Connor,7.6
Lupe Fiasco,Enemy of the State: A Love Story,Rap,self-released,"January 6, 2010",Ian Cohen,7.6
Jim O’Rourke,Steamroom 40,Experimental,steamroom,"May 24, 2018",Philip Sherburne,8.0
Anhedonist,Netherwards,Not found,Dark Descent,"April 19, 2012",Kim Kelly,8.2
Killer Mike,Ghetto Extraordinary,Rap,Sony,"February 12, 2008",Ian Cohen,7.9
Excepter,Sunbomber EP,Experimental / Rock,5 Rue Christine,"January 29, 2006",Matthew Murphy,7.2
Jhené Aiko,Souled Out,Pop/R&B,Def Jam / Artium,"September 12, 2014",Craig Jenkins,6.5
Hospital Ships,Destruction in Yr Soul,Pop/R&B,Graveface,"July 23, 2013",Jayson Greene,6.6
Young Dreams,Between Places,Pop/R&B,Modular,"March 11, 2013",Lindsay Zoladz,5.7
John Maus,Love Is Real,Experimental / Rock,Upset the Rhythm,"April 4, 2008",Aaron Leitko,6.4
Manda Rin,My DNA,Electronic / Pop/R&B,Retard Disco,"March 2, 2009",Jessica Suarez,6.0
Toumani Diabaté,The Mande Variations,Folk/Country / Global / Pop/R&B,World Circuit,"April 15, 2008",Joshua Klein,8.3
Atmosphere,Strictly Leakage,Rap,Rhymesayers,"January 14, 2008",Nate Patrin,7.8
Shudder to Think,Live From Home,Metal / Rock,Team Love,"September 22, 2009",Brian Howe,7.7
No artist found,Hyperdub 10.3,Not found,Hyperdub,"September 22, 2014",Nate Patrin,6.5
Beach Fossils,Clash the Truth,Experimental / Rock,Captured Tracks,"February 18, 2013",Ian Cohen,5.8
Key!,SO EMOTIONAL,Rap,Hello!,"July 13, 2019",Nazuk Kochhar,7.6
Warren Ellis,3 Pieces for Violin EP,Experimental,King Crab,"March 4, 2002",Mark Richardson,8.0
No artist found,After Dark 2,Not found,Italians Do It Better,"May 31, 2013",Andrew Gaerig,8.3
"Buzz ""King Buzzo"" Osborne",This Machine Kills Artists,Not found,Ipecac,"June 4, 2014",Jason Heller,6.4
Jonathan Johansson,En Hand I Himlen,Rock,Hybris,"June 15, 2009",Stephen M. Deusner,7.6
The Suzan,Golden Week for the Poco Poco Beat,Pop/R&B / Rock,Fool’s Gold,"November 17, 2010",No reviewer found,7.0
Porches,The House,Rock,Domino,"January 22, 2018",Sasha Geffen,6.4
Blu,NoYork!,Rap,New World Color,"March 27, 2013",Craig Jenkins,8.1
Mobius Band,The Loving Sound of Static,Rock,Ghostly International,"August 23, 2005",Ryan Dombal,5.8
Beck,Mellow Gold,Rock,DGC,"May 3, 2020",Mike Powell,8.8
Marisa Anderson,"Still, Here",Folk/Country,Thrill Jockey,"September 26, 2022",Andy Cush,7.0
Conor Oberst and the Mystic Valley Band,Outer South,Folk/Country / Rock,Merge,"May 4, 2009",Joshua Love,4.9
Statistics,Often Lie,Rock,Jade Tree,"August 4, 2005",Marc Hogan,1.0
FLOHIO,No Panic No Pain,Rap,AlphaTone,"November 30, 2020",Will Pritchard,6.7
The Chills,Kaleidoscope World,Rock,Flying Nun,"August 13, 2016",Douglas Wolk,8.2
James Place,Voices Bloom,Not found,Umor Rex,"May 26, 2017",Marc Masters,7.4
Dianogah,qhnnnl,Rock,Southern,"November 3, 2008",David Raposa,7.4
Opeth,Pale Communion,Metal,Roadrunner,"August 28, 2014",Grayson Haver Currin,4.3
Squirrel Flower,Planet EP,Rock,Polyvinyl,"February 4, 2022",Quinn Moreland,6.8
Jonathan Rado,For Who the Bell Tolls For,Rock,Western Vinyl,"December 19, 2023",Stuart Berman,7.5
Get Him Eat Him,Arms Down,Rock,Absolutely Kosher,"June 8, 2007",Stuart Berman,7.2
"Black Country, New Road",Ants From Up There,Experimental / Rock,Ninja Tune,"February 8, 2022",Ian Cohen,8.4
Billy Bragg,Mr. Love & Justice,Rock,Anti-,"April 24, 2008",Joshua Klein,6.5
HEALTH,Max Payne 3 OST,Rock,Rockstar,"May 31, 2012",Brian Howe,7.0
Radiohead,TKOL RMX 1234567,Rock,XL,"October 10, 2011",Jess Harvell,6.0
The Big Pink,Empire Underground EP,Rock,B3SCI,"March 9, 2016",Cameron Cook,6.5
Boris,BXI EP,Metal / Rock,Southern Lord,"October 6, 2010",Grayson Haver Currin,3.3
Wolf Eyes,I Am a Problem: Mind in Pieces,Experimental,Third Man,"November 3, 2015",Marc Masters,7.8
The Roots of Orchis,Some Things Plural,Rock,Slowdance,"June 5, 2002",Christopher Dare,7.0
Dommengang,Love Jail,Rock,Thrill Jockey,"January 30, 2018",Stephen M. Deusner,7.0
Laura Jean,Amateurs,Pop/R&B,Chapter Music,"November 11, 2022",Shaad D’Souza,7.1
Everything Everything,Get to Heaven,Rock,RCA,"June 26, 2015",Laura Snapes,7.2
Nick Cave,Seven Psalms,Rock,Cave Things,"June 23, 2022",Andy Cush,6.4
Mudhoney,Under a Billion Suns,Rock,Sub Pop,"March 5, 2006",David Raposa,6.1
Smog,Strayed EP,Rock,Drag City,"July 31, 2000",Matt LeMay,7.7
Destruction Unit,Deep Trip,Rock,Sacred Bones,"August 21, 2013",Jason Heller,7.4
Milk Music,Mystic 100’s,Rock,Dom America,"April 5, 2017",NM Mashurov,7.6
AIDS Wolf,March to the Sea,Experimental / Rock,Skin Graft,"November 22, 2010",Marc Masters,6.9
Icky Boyfriends,A Love Obscene,Rock,Menlo Park,"August 11, 2005",Marc Hogan,7.5
Christian Kleine,Valis,Electronic,Morr,"April 2, 2002",Paul Cooper,6.3
Autre Ne Veut,Autre Ne Veut,Electronic,Olde English Spelling Bee,"December 10, 2010",Andy Battaglia,8.1
Bad Books,III,Rock,Loma Vista,"June 22, 2019",Nina Corcoran,7.4
NF,The Search,Rap,NFREALMUSIC / Caroline,"August 10, 2019",Evan Rytlewski,4.0
Dum Dum Girls,Only in Dreams,Rock,Sub Pop,"September 28, 2011",Lindsay Zoladz,7.6
Braids,Native Speaker,Electronic,Kanine,"January 19, 2011",Ian Cohen,7.9
Neil Halstead,Palindrome Hunches,Rock,Brushfire,"September 14, 2012",Ned Raggett,7.1
Donovan,A Gift from a Garden to a Flower: A Tribute to Donovan,Rock,Darla,"March 23, 2003",Brian James,5.7
KTL,V,Metal,Editions Mego,"May 15, 2012",Grayson Haver Currin,8.1
The Rapture,Pieces of the People We Love,Electronic / Rock,Interscope,"September 12, 2006",Rob  Mitchum,7.8
Sam Fender,Seventeen Going Under,Rock,Interscope,"October 13, 2021",Ethan Shanfeld,6.6
Lucy Gooch,Rushing EP,Experimental,Past Inside the Present,"March 5, 2020",Philip Sherburne,7.5
Eskimeaux,Year of the Rabbit,Rock,Double Double Whammy,"April 14, 2016",Lindsay Hood,6.8
Kacy Hill,Is It Selfish If We Talk About Me Again,Pop/R&B,self-released,"July 13, 2020",Matthew Strauss,7.6
Mister Heavenly,Out of Love,Rock,Sub Pop,"August 24, 2011",Stuart Berman,7.5
Free Range,Practice,Rock,Mick,"February 24, 2023",Steven Arroyo,7.0
SunPath,Dream Music,Experimental,Leaving,"July 2, 2016",Benjamin Scheim,7.6
Eyedea & Abilities,First Born,Rap,Rhymesayers,"February 10, 2002",Brad Haywood,7.9
The Breeders,Title TK,Rock,4AD / Elektra,"May 30, 2002",No reviewer found,7.4
Karen Dalton,1966,Folk/Country,Delmore,"February 27, 2012",Lindsay Zoladz,8.0
Jeremih,The Chocolate Box EP,Pop/R&B,Def Jam,"March 17, 2018",Claire Lobenfeld,5.2
Zola Jesus,Arkhon,Electronic,Sacred Bones,"June 27, 2022",Shaad D’Souza,7.1
Chad VanGaalen,Infiniheart,Rock,Sub Pop,"August 18, 2005",Stephen M. Deusner,7.1
Peaking Lights,936,Electronic,Not Not Fun,"March 23, 2011",Zach Kelly,7.7
Armand Hammer,Paraffin,Rap,Backwoodz Studioz,"September 5, 2018",Paul A. Thompson,8.1
Tera Melos,X'ed Out,Rock,Sargent House,"May 13, 2013",Ian Cohen,7.1
Bonnie “Prince” Billy,Ease Down the Road,Folk/Country,Palace,"March 31, 2001",Matt LeMay,7.9
Elysia Crampton,ORCORARA 2010,Experimental,Pan,"May 14, 2020",Sasha Geffen,7.7
Statistics,Leave Your Name,Rock,Jade Tree,"January 22, 2004",No reviewer found,4.0
Ty Segall,Freedom’s Goblin,Rock,Drag City,"January 26, 2018",Stuart Berman,8.1
Amon Tobin,Supermodified,Electronic / Jazz,Ninja Tune,"May 16, 2000",No reviewer found,9.1
All Night Radio,Spirit Stereo Frequency,Rock,Sub Pop,"February 8, 2004",Amanda Petrusich,7.8
Caroline Says,"50,000,000 Elvis Fans Can’t Be Wrong",Folk/Country,Western Vinyl,"August 7, 2017",Philip Cosores,7.2
Lana Del Rey,Norman Fucking Rockwell!,Pop/R&B,Polydor / Interscope,"September 3, 2019",Jenn Pelly,9.4
Mary J. Blige,The London Sessions,Pop/R&B,Capitol,"December 9, 2014",Jordan Sargent,7.0
Ricked Wicky,I Sell the Circus,Rock,Guided by Voices Inc. / Fire,"February 12, 2015",Paul Thompson,6.9
Kate Bush,The Dreaming,Pop/R&B,EMI,"January 19, 2019",Daphne Carr,7.7
Shura,forevher,Pop/R&B,Secretly Canadian,"August 15, 2019",Aimee Cliff,7.8
The Young,Dub Egg,Rock,Matador,"June 8, 2012",Nick Neyland,6.3
Bardo Pond,Ticket Crystals,Rock,ATP,"June 16, 2006",No reviewer found,6.2
The Vandermark Five,Elements of Style... Exercises in Surprise,Not found,Atavistic,"August 22, 2004",No reviewer found,7.8
No artist found,No album name found,Rock,Not found,"March 14, 2017",Douglas Wolk,8.2
Icarus Line,Penance Soiree,Not found,V2,"May 9, 2004",No reviewer found,7.8
Thee Oh Sees,Castlemania,Rock,In the Red,"June 15, 2011",Aaron Leitko,7.6
Muse,Will of the People,Rock,Warner,"August 31, 2022",Sasha Geffen,3.7
No artist found,Inès,Not found,Clown & Sunset,"February 1, 2011",Tim Finney,7.7
Susumu Yokota,Wonder Waltz,Electronic / Global,Lo,"June 27, 2006",Mark Richardson,5.5
Angel Olsen,My Woman,Rock,Jagjaguwar,"September 2, 2016",Jenn Pelly,8.8
The Sandwitches,Mrs. Jones' Cookies,Rock,Empty Cellar,"April 1, 2011",Martin Douglas,7.5
J Spaceman and Matthew Shipp,SpaceShipp,Not found,Treader,"March 4, 2009",Grayson Haver Currin,6.5
Kedr Livanskiy,Ariadna,Electronic,2MR,"September 7, 2017",Jesse Weiss,7.4
The Arcs,"Yours, Dreamily",Rock,Nonesuch,"September 21, 2015",Max Mertens,6.8
Guillemots,Through the Windowpane,Rock,Polydor,"July 28, 2006",Marc Hogan,8.3
Panda Bear,Young Prayer,Electronic,Paw Tracks,"September 29, 2004",Mark Richardson,8.5
María José Llergo,Ultrabelleza,Pop/R&B,Sony Music Spain,"November 7, 2023",Stefanie Fernández,7.9
Youth Code,Youth Code,Electronic / Metal,Dais Records,"September 30, 2013",Zach Kelly,7.2
Deastro,Mind Altar EP,Electronic / Rock,Ghostly International,"August 3, 2010",Zach Kelly,6.9
Why Khaliq,Under the Perspective Tree EP,Rap,self-released,"February 16, 2016",Paul A. Thompson,7.8
Lemuria,Get Better,Rock,Asian Man,"June 6, 2008",Ian Cohen,6.4
AceMo,Existential,Electronic,self-released,"January 13, 2020",Colin Joyce,7.3
The Go! Team,Proof of Youth,Rock,Sub Pop,"September 12, 2007",Rob  Mitchum,7.2
Drive Like Jehu,Yank Crime,Rock,Interscope,"February 13, 2003",Brendan Reid,9.0
Benoît Pioulard,Hymnal,Electronic,Kranky,"March 4, 2013",Nick Neyland,6.7
The Divine Comedy,Absent Friends,Pop/R&B,Nettwerk,"July 11, 2004",Joe Tangari,7.8
Prince,Diamonds and Pearls,Pop/R&B / Rock,Warner Bros. / Paisley Park,"April 30, 2016",Jeff Weiss,8.3
A.R.E. Weapons,Free in the Streets,Electronic,Defend Music,"February 13, 2006",Brian Howe,6.0
Foxing,Nearer My God,Rock,Triple Crown,"August 13, 2018",Ian Cohen,8.0
Comets On Fire,Comets on Fire,Experimental / Rock,Alternative Tentacles,"August 4, 2003",Brandon Stosuy,8.2
Pansy Division,The Essential,Rock,Alternative Tentacles,"March 5, 2006",Cory D. Byrom,7.8
Los Campesinos!,A Los Campesinos! Christmas EP,Rock,Turnstile / Heart Swells,"December 8, 2014",Hazel Cills,7.5
Drcarlsonalbion,Gold,Not found,self-released,"July 25, 2014",Grayson Haver Currin,7.2
Young Dolph,Paper Route Frank,Rap,Paper Route Empire,"January 5, 2023",Jackson Howard,7.6
ShittyBoyz,Trifecta 2,Rap,The Hip Hop Lab / Empire,"August 9, 2022",Nadine Smith,7.2
The Sidekicks,Runners in the Nerved World,Rock,Epitaph,"January 22, 2015",Ian Cohen,7.4
HOWL,Bloodlines,Not found,Relapse,"May 7, 2013",Grayson Haver Currin,6.3
"Tyler, the Creator",Goblin,Rap,XL,"May 11, 2011",Scott Plagenhoef,8.0
The Appleseed Cast,Two Conversations,Rock,Tiger Style,"September 1, 2003",Rob  Mitchum,4.2
Sarah Mary Chadwick,Messages to God,Folk/Country,Kill Rock Stars,"September 19, 2023",Emma Madden,7.5
No artist found,No album name found,Rock,Not found,"May 4, 2020",Grayson Haver Currin,7.6
The Beatles,Revolver,Rock,EMI,"September 9, 2009",Scott Plagenhoef,10
Sparrow,The Early Years,Rock,Absolutely Kosher,"January 22, 2006",Adam Moerder,7.1
The Vaccines,What Did You Expect From the Vaccines?,Rock,Columbia,"May 31, 2011",Marc Hogan,6.2
No artist found,No album name found,Electronic,Not found,"April 18, 2022",Philip Sherburne,8.3
No artist found,Causes 1,Not found,Waxploitation,"November 26, 2007",Joe Tangari,7.3
Shannon Lay,August,Folk/Country,Sub Pop,"August 27, 2019",Erin Osmon,7.7
Jamila Woods,HEAVN,Pop/R&B,Closed Sessions,"July 21, 2016",kris ex,8.4
Smut,How the Light Felt,Rock,Bayonet,"November 15, 2022",Jude Noel,7.1
Curren$y,Continuance,Rap,Jet Life / ALC / Empire,"March 2, 2022",Dylan Green,7.2
Wovenhand,Mosaic,Folk/Country,Sounds Familyre,"October 9, 2006",Grayson Haver Currin,6.8
Neil Young,The Visitor,Rock,Reprise,"December 5, 2017",Sam Sodomsky,6.7
Iron & Wine,The Sea and The Rhythm EP,Folk/Country,Sub Pop,"September 14, 2003",Jascha Hoffman,8.4
The Hold Steady,Separation Sunday,Rock,Frenchkiss,"May 5, 2005",Tom Breihan,8.7
